#{"t_start": 1771810117.209117, "env_id": "None"}
r,l,t
0.017168,1,0.076314
0.141245,1,0.139848
0.205879,1,0.194653
0.013512,1,0.260225
0.049311,1,0.31019
5.814539,1,0.352601
0.016059,1,0.400901
0.003083,1,0.468184
3.233925,1,0.516245
0.000848,1,0.569849
0.000681,1,0.629527
20.0,1,0.674117
20.0,1,0.717307
20.0,1,0.759893
1.083245,1,0.85194
4.959035,1,0.899194
3.186183,1,0.950968
0.029136,1,0.988624
0.070449,1,1.038928
0.066317,1,1.1166
0.012611,1,1.151447
5.210125,1,1.213855
0.006681,1,1.23542
0.113741,1,1.298297
0.349623,1,1.34925
0.546971,1,1.390634
0.567047,1,1.455603
0.439992,1,1.50329
0.000225,1,1.553668
0.068687,1,1.615581
20.0,1,1.695021
0.007605,1,1.73138
20.0,1,1.765267
0.000471,1,1.833173
0.073749,1,1.897856
0.031318,1,1.946467
20.0,1,2.000617
0.045614,1,2.053918
0.01288,1,2.105892
1.659708,1,2.157528
0.000733,1,2.216697
4.754454,1,2.268732
0.066591,1,2.316618
4.59292,1,2.371171
0.001141,1,2.40337
0.136798,1,2.47326
4.0427,1,2.526519
1.317668,1,2.567302
4.542343,1,2.642711
0.240361,1,2.691037
20.0,1,2.740263
5.492626,1,2.788741
20.0,1,2.820163
20.0,1,2.876028
0.963638,1,2.963016
3.394878,1,2.992131
0.003683,1,3.059894
0.71903,1,3.101094
20.0,1,3.165678
0.089959,1,3.199214
0.016889,1,3.234359
4.096666,1,3.307293
20.0,1,3.339011
0.301324,1,3.396515
0.48859,1,3.451338
0.035929,1,3.500676
0.001847,1,3.556224
20.0,1,3.600279
0.383789,1,3.67617
20.0,1,3.695688
5.040819,1,3.779254
4.674664,1,3.822551
0.024671,1,3.871375
0.11012,1,3.93874
5.386737,1,3.991658
0.738544,1,4.040178
3.096627,1,4.110614
0.123042,1,4.171871
20.0,1,4.209084
0.276296,1,4.277157
0.00077,1,4.312254
0.095628,1,4.378666
0.080143,1,4.420731
2.849813,1,4.479663
0.18611,1,4.527625
0.049792,1,4.556201
2.924299,1,4.609379
0.872568,1,4.679519
5.888169,1,4.739022
5.421476,1,4.789747
0.001035,1,4.834295
20.0,1,4.890385
0.005889,1,4.944773
0.088164,1,4.994781
20.0,1,5.041066
