#{"t_start": 1771797012.516334, "env_id": "None"}
r,l,t
1.837999,1,0.029555
1.985621,1,0.066129
25.0,1,0.10149
1.594273,1,0.122888
0.418802,1,0.155003
0.23514,1,0.172333
7.919266,1,0.197037
2.399774,1,0.238921
4.15666,1,0.268023
0.546197,1,0.28471
4.195573,1,0.323136
0.002049,1,0.326316
4.60384,1,0.370128
0.039986,1,0.388466
1.018108,1,0.452148
2.843889,1,0.482931
0.06724,1,0.51613
2.227629,1,0.55625
0.447136,1,0.588569
1.209284,1,0.623364
4.103173,1,0.640835
3.451842,1,0.674886
5.521106,1,0.697151
3.406518,1,0.714342
2.892471,1,0.738178
3.658593,1,0.773204
0.085205,1,0.801287
3.034034,1,0.834431
0.136032,1,0.866085
2.325786,1,0.900403
4.929134,1,0.925003
2.458403,1,0.956564
5.748236,1,0.975855
0.000933,1,0.991475
0.386924,1,1.039198
0.096054,1,1.074053
0.954247,1,1.090452
3.13256,1,1.11572
2.100476,1,1.158661
3.204776,1,1.187797
25.0,1,1.203226
1.861161,1,1.245358
3.081176,1,1.266323
3.183613,1,1.284886
3.062104,1,1.32603
25.0,1,1.345584
25.0,1,1.382223
0.000434,1,1.393906
2.570562,1,1.444538
2.306387,1,1.481164
2.664509,1,1.506071
0.039084,1,1.53257
1.889166,1,1.587527
2.831645,1,1.614422
0.000142,1,1.622379
3.064407,1,1.672842
2.670046,1,1.704943
2.546533,1,1.734256
1.978947,1,1.764738
2.162785,1,1.793671
1.022411,1,1.819296
6.55014,1,1.842554
7.647034,1,1.872659
3.314191,1,1.889171
0.366656,1,1.926724
0.017944,1,1.936479
0.528445,1,1.99204
1.485904,1,2.007461
6.926265,1,2.049496
4.101547,1,2.084082
0.722188,1,2.117277
2.839518,1,2.138577
2.632201,1,2.152402
2.891656,1,2.178039
1.117374,1,2.207366
0.925765,1,2.235292
0.513788,1,2.269688
0.356147,1,2.307641
2.097498,1,2.349669
0.180646,1,2.383171
0.372115,1,2.438217
2.064576,1,2.462441
0.063052,1,2.481867
3.486111,1,2.507051
0.4438,1,2.535322
3.876157,1,2.561708
7.573839,1,2.596513
