#{"t_start": 1773433832.4241085, "env_id": "None"}
r,l,t
39.447574,1,2.833737
27.882957,1,2.946843
2.948167,1,3.062318
6.596175,1,3.226715
0.711598,1,3.287911
4.065667,1,3.389092
5.354782,1,3.578171
6.75583,1,3.670158
2.822187,1,3.721701
6.384854,1,3.84757
6.155287,1,4.022691
40.07032,1,4.08996
6.855855,1,4.236288
5.551973,1,4.36447
4.726459,1,4.463891
6.069968,1,4.558644
20.421736,1,4.714089
7.099299,1,4.808964
2.865876,1,4.886761
6.058987,1,5.02647
8.462661,1,5.147634
34.142822,1,5.283015
5.460495,1,5.438496
8.218873,1,5.598541
6.260723,1,5.7082
0.944359,1,5.831773
4.236707,1,5.929082
5.293044,1,6.015361
6.666435,1,6.181458
6.87992,1,6.238878
2.38016,1,6.393453
6.964559,1,6.535406
5.021414,1,6.679393
6.794699,1,6.816692
2.876237,1,6.913931
7.405847,1,7.063056
6.505403,1,7.164936
4.44072,1,7.34595
5.573462,1,7.41538
6.818426,1,7.557212
4.383194,1,7.613337
5.960232,1,7.792937
5.114366,1,7.9196
3.904478,1,8.03474
8.071487,1,8.159976
20.077782,1,8.251812
6.042492,1,8.326937
6.335539,1,8.503792
5.753327,1,8.61366
8.013201,1,8.744321
4.104684,1,8.801687
2.688844,1,8.974843
6.308408,1,9.148805
7.712675,1,9.216916
7.831065,1,9.405787
8.126157,1,9.479037
2.304571,1,9.589404
4.328554,1,9.704679
8.298541,1,9.823411
2.800746,1,9.924612
4.988846,1,10.076579
22.534017,1,10.185649
5.048752,1,10.343907
20.063202,1,10.411106
6.628354,1,10.571648
31.035976,1,10.650608
8.036912,1,10.771648
2.294285,1,10.844175
1.954902,1,10.988268
1.856391,1,11.101596
4.756252,1,11.221859
8.080644,1,11.388771
2.27626,1,11.457187
3.278744,1,11.565546
2.195532,1,11.71408
5.939396,1,11.830628
33.267522,1,11.980228
5.56492,1,12.058117
8.579274,1,12.187572
1.00953,1,12.299844
6.668301,1,12.457624
6.359364,1,12.55039
20.170209,1,12.669535
2.333078,1,12.77078
5.403389,1,12.886642
2.53221,1,13.040001
23.712235,1,13.177436
2.870342,1,13.233211
5.093534,1,13.37068
4.114154,1,13.508713
1.997087,1,13.619114
7.327473,1,13.755207
5.818464,1,13.920021
4.832273,1,14.036875
1.927032,1,14.090795
26.488848,1,14.275209
2.112725,1,14.366913
3.915132,1,14.494111
21.261776,1,14.633794
3.8426,1,14.730676
4.567361,1,14.888357
3.007818,1,14.972737
2.415348,1,15.103341
8.102096,1,15.240744
4.511921,1,15.329143
4.927065,1,15.457076
5.311596,1,15.575754
7.608084,1,15.698487
37.666738,1,15.815518
2.015894,1,15.88529
20.142702,1,16.052164
6.564711,1,16.125015
1.411781,1,16.238719
3.587783,1,16.35787
1.84463,1,16.509805
1.669713,1,16.615931
2.356606,1,16.714619
1.47453,1,16.842867
5.779337,1,16.986999
6.192005,1,17.148742
5.281946,1,17.28878
3.150383,1,17.337248
26.280885,1,17.543123
7.066111,1,17.698951
6.997444,1,17.753127
7.847676,1,17.915116
2.45956,1,18.008431
4.855716,1,18.196656
7.222721,1,18.312487
21.274655,1,18.370516
6.750223,1,18.496756
78.779791,1,18.620493
6.565828,1,18.778464
1.024567,1,18.867904
6.84273,1,18.98232
5.141186,1,19.123604
4.640387,1,19.234627
5.189244,1,19.338323
21.319408,1,19.448218
26.788463,1,19.607252
