#{"t_start": 1773433833.713771, "env_id": "None"}
r,l,t
5.679988,1,1.596187
5.17906,1,1.635759
0.760317,1,1.764007
4.865614,1,1.937475
1.954386,1,2.01813
4.301887,1,2.130008
5.751982,1,2.229951
0.936334,1,2.311203
8.236442,1,2.439058
6.88254,1,2.586613
4.694495,1,2.712052
8.080538,1,2.824059
4.327905,1,2.962798
5.987617,1,3.0322
6.864683,1,3.185372
5.899822,1,3.298728
5.389097,1,3.358254
6.204093,1,3.514429
4.585503,1,3.594907
2.140461,1,3.698163
6.88733,1,3.918877
6.997629,1,4.043744
8.573764,1,4.146396
2.826894,1,4.27515
3.27334,1,4.366096
34.879207,1,4.558383
4.789374,1,4.604796
1.452049,1,4.722181
2.333659,1,4.872003
6.017946,1,4.998026
7.920442,1,5.155129
6.123372,1,5.258179
49.308551,1,5.415947
8.3713,1,5.49472
22.008531,1,5.645224
7.361556,1,5.782664
6.462607,1,5.860542
4.562759,1,6.043687
6.224495,1,6.105606
5.151392,1,6.259201
6.784784,1,6.38128
20.104167,1,6.479978
1.998254,1,6.582956
6.22125,1,6.72575
1.78004,1,6.83943
1.124123,1,6.917753
26.754819,1,7.08502
6.37829,1,7.194121
20.009721,1,7.298435
6.543956,1,7.416801
7.034217,1,7.564541
7.414142,1,7.686825
57.470532,1,7.804878
1.814243,1,7.887804
7.374854,1,8.081156
4.483113,1,8.209982
7.194289,1,8.351703
4.831149,1,8.418345
8.550034,1,8.575086
4.904957,1,8.670609
0.949058,1,8.744914
1.677701,1,8.843206
4.582212,1,8.967524
3.636543,1,9.071965
20.247691,1,9.203622
5.821599,1,9.378117
0.721408,1,9.441376
3.493009,1,9.625164
26.818667,1,9.724524
5.693218,1,9.866832
24.724965,1,9.932099
7.811791,1,10.081149
6.457993,1,10.205665
24.45746,1,10.310173
5.051753,1,10.46507
7.331701,1,10.569932
5.518393,1,10.684705
23.966602,1,10.815816
1.463081,1,10.87254
3.146949,1,11.053403
7.430871,1,11.123765
5.33218,1,11.277058
5.915203,1,11.418018
2.540659,1,11.487624
6.550248,1,11.639996
21.874359,1,11.780418
23.31659,1,11.89543
6.126322,1,11.967616
3.76214,1,12.072516
2.248953,1,12.213849
7.455236,1,12.387111
7.062005,1,12.478196
4.737818,1,12.582167
5.803291,1,12.734905
4.78662,1,12.885059
7.330493,1,12.967266
3.791256,1,13.056247
7.679278,1,13.223257
2.272262,1,13.335788
5.686447,1,13.429952
8.439761,1,13.593435
7.700826,1,13.724282
2.116627,1,13.765597
3.689472,1,13.906345
7.164453,1,14.029686
3.707454,1,14.202096
7.912515,1,14.273504
6.330388,1,14.392471
3.755223,1,14.469208
5.165736,1,14.643871
1.456572,1,14.715061
8.491548,1,14.889519
