#{"t_start": 1773433831.5210836, "env_id": "None"}
r,l,t
8.207113,1,3.751174
5.86162,1,3.874447
6.645037,1,3.990918
5.467748,1,4.111251
4.899993,1,4.181236
5.412466,1,4.353905
21.279511,1,4.411679
3.035448,1,4.526914
7.800825,1,4.657882
7.20078,1,4.759161
8.451037,1,4.872435
6.047212,1,5.015548
3.850051,1,5.155978
4.674796,1,5.194736
7.549217,1,5.318547
1.15119,1,5.427322
20.01053,1,5.585119
3.723976,1,5.664829
21.660827,1,5.79986
0.952041,1,5.934919
6.803709,1,6.070256
6.223803,1,6.242659
5.545816,1,6.307289
1.996316,1,6.491323
4.661471,1,6.64008
5.200201,1,6.775602
4.325676,1,6.882816
7.043213,1,6.925645
4.754102,1,7.091624
4.830023,1,7.188826
6.703495,1,7.302466
5.952752,1,7.437186
8.491375,1,7.582107
5.477126,1,7.729374
6.057681,1,7.842546
0.626976,1,7.935796
3.802218,1,8.047089
6.599523,1,8.213911
7.995978,1,8.300103
8.192035,1,8.450699
4.938073,1,8.548411
8.264499,1,8.713203
1.233621,1,8.806017
8.223211,1,8.955234
1.591297,1,9.040582
7.015331,1,9.179086
7.362144,1,9.24724
1.891188,1,9.366417
1.723611,1,9.4669
20.062196,1,9.624063
6.903093,1,9.766685
24.382619,1,9.902034
7.235241,1,9.99829
6.019785,1,10.131629
1.282264,1,10.235059
7.380889,1,10.38698
4.830582,1,10.477939
5.440414,1,10.66403
32.26502,1,10.747288
5.388891,1,10.884984
7.597426,1,10.98431
1.898072,1,11.065618
7.628287,1,11.232088
3.683607,1,11.312033
6.483773,1,11.449853
21.657598,1,11.581222
4.373414,1,11.707141
5.100722,1,11.798468
7.593171,1,11.932485
6.854239,1,12.027309
2.906747,1,12.110049
0.742832,1,12.265806
6.317977,1,12.434279
3.936943,1,12.491067
1.220661,1,12.638169
3.649137,1,12.723349
2.732432,1,12.855615
6.935432,1,12.996887
6.47837,1,13.115395
1.101846,1,13.221858
3.439957,1,13.3232
7.548317,1,13.5037
8.126075,1,13.583835
39.863733,1,13.746227
6.348767,1,13.817394
4.602362,1,13.938568
1.133906,1,14.03449
4.558368,1,14.159086
7.718897,1,14.32848
3.891477,1,14.423275
7.556635,1,14.578464
4.731961,1,14.71979
8.047392,1,14.813726
2.741988,1,14.878849
7.989751,1,15.06926
6.350512,1,15.137692
7.953779,1,15.281502
2.955071,1,15.365463
5.012015,1,15.569187
7.364238,1,15.658878
6.838994,1,15.755637
7.855445,1,15.92091
7.920288,1,16.015171
8.158088,1,16.1349
2.774184,1,16.27346
1.273923,1,16.340949
25.13734,1,16.488015
3.848508,1,16.612795
2.956552,1,16.693453
3.508822,1,16.812038
6.161861,1,16.989909
3.224083,1,17.063684
26.907868,1,17.208306
7.032085,1,17.322507
29.861617,1,17.422399
5.723067,1,17.568812
6.511298,1,17.646839
7.342885,1,17.799492
0.810132,1,17.901061
47.019086,1,18.060818
6.50139,1,18.179989
7.581082,1,18.305009
7.673064,1,18.443932
1.047627,1,18.549688
6.028584,1,18.70336
5.97787,1,18.825841
1.632182,1,18.906757
4.517614,1,19.043454
5.669623,1,19.215841
3.028996,1,19.262645
27.724798,1,19.413095
5.73775,1,19.55934
6.836678,1,19.621049
6.158896,1,19.774539
6.48089,1,19.915887
1.591617,1,19.985417
3.131528,1,20.094016
0.957257,1,20.184806
5.636684,1,20.34869
7.327712,1,20.477607
2.749919,1,20.600731
5.928359,1,20.752921
4.028621,1,20.83587
1.599154,1,20.932867
1.86093,1,21.038916
1.154934,1,21.146747
8.543123,1,21.292843
8.311868,1,21.387948
3.407416,1,21.532067
6.632566,1,21.659463
5.504792,1,21.78865
2.534735,1,21.865732
3.42744,1,21.968197
8.644284,1,22.131651
2.526393,1,22.240038
7.061545,1,22.392514
1.32351,1,22.448393
4.434147,1,22.569057
1.107121,1,22.720851
26.104049,1,22.879426
29.818679,1,22.994906
20.000254,1,23.110733
1.919721,1,23.191897
3.660397,1,23.387458
3.964223,1,23.486639
6.551129,1,23.532374
6.882771,1,23.690846
6.431321,1,23.812779
5.076565,1,23.901129
6.583498,1,24.042136
7.153086,1,24.137568
