#{"t_start": 1771836772.17001, "env_id": "None"}
r,l,t
2.388032,1,0.046627
3.274897,1,0.084758
2.306094,1,0.120915
0.239439,1,0.14884
2.869988,1,0.188939
27.021814,1,0.219751
1.0061,1,0.254377
0.107715,1,0.285409
90.405985,1,0.324911
0.051877,1,0.355939
0.04712,1,0.392981
68.454362,1,0.418929
21.144411,1,0.44123
44.58247,1,0.497462
20.102076,1,0.541837
40.026406,1,0.577632
21.032274,1,0.613567
0.424204,1,0.640747
2.262249,1,0.673186
2.423452,1,0.700656
0.357098,1,0.737843
5.849209,1,0.765329
0.115839,1,0.794405
1.616582,1,0.846671
3.653472,1,0.879463
2.198049,1,0.922202
5.289664,1,0.945507
3.727679,1,0.993053
0.022659,1,1.012131
0.946526,1,1.044562
20.636884,1,1.08254
1.502096,1,1.122477
34.869698,1,1.158982
0.039377,1,1.182544
2.899209,1,1.228429
0.472677,1,1.260195
65.88829,1,1.277894
1.259856,1,1.323564
0.249981,1,1.356302
4.279361,1,1.396917
0.020606,1,1.426053
39.569981,1,1.467092
2.474642,1,1.519628
23.266577,1,1.539867
0.050393,1,1.589964
3.63584,1,1.628431
4.102208,1,1.653709
2.654606,1,1.71078
35.625607,1,1.749597
0.647586,1,1.76569
59.94185,1,1.815926
22.100527,1,1.867318
21.397565,1,1.89846
66.237397,1,1.936111
2.849511,1,1.988983
4.356881,1,2.025232
0.128573,1,2.061622
5.117919,1,2.082122
37.903543,1,2.120845
4.904599,1,2.16742
0.300456,1,2.196905
28.319589,1,2.220667
5.414779,1,2.247483
2.900603,1,2.289362
2.00644,1,2.332736
0.918809,1,2.382203
0.090098,1,2.425232
47.599472,1,2.461513
3.892209,1,2.484262
28.514765,1,2.514771
6.037504,1,2.556966
5.240049,1,2.581801
1.658275,1,2.624911
0.888598,1,2.646881
38.37188,1,2.691066
2.066731,1,2.723644
5.068354,1,2.750205
0.909423,1,2.790753
20.726694,1,2.829571
1.270389,1,2.852835
0.05256,1,2.897797
2.196687,1,2.920939
0.657264,1,2.961602
20.030397,1,3.001355
4.06409,1,3.035152
0.587992,1,3.056363
4.619556,1,3.098622
2.507705,1,3.131946
39.041659,1,3.154522
26.049918,1,3.198371
0.051094,1,3.232141
3.576899,1,3.251239
0.123081,1,3.287166
3.983541,1,3.319442
36.461634,1,3.343385
0.03848,1,3.378956
3.595041,1,3.422365
0.816242,1,3.442849
27.760412,1,3.476572
0.494086,1,3.527403
20.438756,1,3.54736
1.95149,1,3.599039
0.200383,1,3.631599
5.931987,1,3.64936
4.503647,1,3.690218
0.100131,1,3.725173
3.631994,1,3.746646
25.291038,1,3.786472
4.516188,1,3.834472
0.17961,1,3.867048
4.66951,1,3.892098
0.882229,1,3.928214
0.038004,1,3.958659
3.395114,1,3.993676
33.942513,1,4.040745
4.744922,1,4.056557
0.55968,1,4.086157
2.247401,1,4.130384
3.596041,1,4.169017
0.02292,1,4.201175
42.619196,1,4.228646
2.461975,1,4.266038
0.148721,1,4.298904
5.945779,1,4.339035
43.574406,1,4.373663
3.985894,1,4.4042
0.772347,1,4.441267
3.662739,1,4.46345
0.634451,1,4.500171
4.579816,1,4.527911
2.932613,1,4.56919
3.135862,1,4.60296
1.203463,1,4.634873
5.56812,1,4.657672
1.783151,1,4.701853
1.344206,1,4.731187
3.033422,1,4.763079
3.836728,1,4.794589
0.041768,1,4.825719
5.968232,1,4.872097
0.117541,1,4.891818
1.705786,1,4.931172
