#{"t_start": 1771836772.164574, "env_id": "None"}
r,l,t
21.339889,1,0.043939
0.29661,1,0.078621
0.055141,1,0.111552
0.965653,1,0.148177
33.230611,1,0.17944
5.646073,1,0.219238
4.730588,1,0.24424
5.441339,1,0.283143
0.116444,1,0.30967
1.484098,1,0.352568
2.316143,1,0.385374
97.373824,1,0.41819
1.187032,1,0.454486
3.223273,1,0.498484
0.047669,1,0.533312
2.633392,1,0.572568
3.354202,1,0.603028
1.189712,1,0.638515
4.327507,1,0.669511
1.901232,1,0.702749
4.565567,1,0.726117
4.955814,1,0.770034
3.892488,1,0.806131
1.951351,1,0.842931
5.347932,1,0.87154
3.743823,1,0.909209
51.904419,1,0.949503
5.427147,1,0.985117
1.621461,1,1.019364
5.77237,1,1.044312
65.557311,1,1.083701
0.345163,1,1.122838
52.465664,1,1.158875
43.90521,1,1.186241
0.436037,1,1.23112
24.228221,1,1.2549
3.605233,1,1.288862
0.282842,1,1.324038
0.037178,1,1.360703
0.089224,1,1.401183
5.886642,1,1.435416
3.667174,1,1.478211
0.026398,1,1.50645
0.054058,1,1.54583
0.071886,1,1.586346
4.89005,1,1.62716
0.085848,1,1.655477
2.983842,1,1.699861
4.857498,1,1.734289
31.043739,1,1.78033
4.601463,1,1.813903
5.141518,1,1.861182
4.337915,1,1.898969
0.399894,1,1.939606
0.417937,1,1.990951
5.336677,1,2.033092
3.698228,1,2.066056
1.090338,1,2.088438
5.110546,1,2.119569
21.565593,1,2.155829
1.691253,1,2.193658
3.337195,1,2.230292
0.024816,1,2.259528
0.208207,1,2.296863
22.617025,1,2.337691
1.065062,1,2.379465
3.494017,1,2.411584
5.773663,1,2.453219
3.792929,1,2.485923
32.909863,1,2.522086
37.687566,1,2.553659
2.782985,1,2.587975
0.599031,1,2.623936
26.684307,1,2.659906
4.939373,1,2.680293
27.348843,1,2.716268
33.125683,1,2.750708
4.607596,1,2.792589
2.57929,1,2.819773
2.399287,1,2.856801
0.062612,1,2.889926
2.348353,1,2.928007
1.381917,1,2.957288
0.185154,1,2.991737
5.08183,1,3.024822
41.674465,1,3.064629
4.981739,1,3.09397
0.086882,1,3.127419
4.740517,1,3.159697
3.116144,1,3.187608
1.75189,1,3.231668
5.814225,1,3.251662
4.7067,1,3.290872
2.5421,1,3.322657
37.574415,1,3.346015
5.577138,1,3.383046
67.089805,1,3.415508
4.06009,1,3.445
5.912143,1,3.481119
46.104267,1,3.520332
3.285546,1,3.554988
5.549767,1,3.591131
4.30254,1,3.628243
1.573576,1,3.660623
38.486839,1,3.693251
4.456471,1,3.726586
